item1:49, item2:33, item3:31
item1:26, item2:76, item3:72
item1:40, item2:91, item3:18
item1:64, item2:26, item3:72
item1:80, item2:6, item3:37
item1:59, item2:32, item3:72
item1:2, item2:95, item3:43
item1:19, item2:27, item3:84
item1:78, item2:78, item3:29
item1:71, item2:65, item3:37
item1:59, item2:16, item3:100
item1:96, item2:37, item3:91
item1:54, item2:96, item3:51
item1:61, item2:100, item3:9
item1:17, item2:17, item3:100
item1:49, item2:67, item3:13
item1:75, item2:92, item3:31
item1:15, item2:83, item3:58
item1:33, item2:78, item3:94
item1:42, item2:33, item3:19
item1:42, item2:39, item3:88
item1:47, item2:27, item3:46
item1:44, item2:21, item3:28
item1:43, item2:97, item3:11
item1:98, item2:50, item3:61
item1:100, item2:42, item3:29
item1:41, item2:55, item3:45
item1:48, item2:47, item3:79
item1:96, item2:7, item3:49
item1:47, item2:29, item3:6
item1:68, item2:93, item3:24
item1:38, item2:71, item3:26
item1:7, item2:62, item3:39
item1:18, item2:60, item3:69
item1:70, item2:100, item3:95
item1:4, item2:19, item3:90
item1:75, item2:40, item3:66
item1:72, item2:50, item3:86
item1:10, item2:3, item3:72
item1:57, item2:28, item3:64
item1:57, item2:29, item3:61
item1:14, item2:12, item3:86
item1:59, item2:62, item3:89
item1:87, item2:66, item3:57
item1:22, item2:21, item3:73
item1:8, item2:66, item3:74
item1:47, item2:66, item3:20
item1:71, item2:42, item3:42
item1:33, item2:45, item3:55
item1:58, item2:43, item3:15
item1:24, item2:88, item3:41
item1:16, item2:24, item3:77
item1:14, item2:63, item3:39
item1:69, item2:59, item3:86
item1:46, item2:57, item3:66
item1:87, item2:27, item3:84
item1:2, item2:15, item3:77
item1:70, item2:8, item3:86
item1:60, item2:92, item3:1
item1:47, item2:65, item3:8
item1:11, item2:70, item3:61
item1:52, item2:99, item3:18
item1:100, item2:32, item3:56
item1:58, item2:77, item3:29
item1:9, item2:30, item3:77
item1:38, item2:97, item3:44
item1:73, item2:18, item3:49
item1:73, item2:56, item3:10
item1:100, item2:100, item3:63
